20942742	(-0.9125844,51.2963079)	The Phoenix
20948341	(-1.1406951,52.6480531)	The Abbey
20959523	(-1.1205817,52.6533337)	The Clowes Arms
20961358	(-2.0900359,51.8938189)	The Lansdown
20963376	(0.1231099,52.2033631)	Revolution
20963846	(-0.2629639,51.2402480)	The Red Lion
20967222	(1.4369840,52.4562575)	The Kings Head
20973123	(-1.1150834,52.6542593)	Victoria Jubilee
20973124	(-1.1167445,52.6568787)	the Melton
20973312	(-0.2100687,51.4691887)	Kings Arms
20973316	(-0.1811598,51.4727261)	The Waterside
20974867	(-2.9473513,53.2841902)	The Travellers Rest
20979390	(-2.9657585,53.2802645)	The Cheshire Yeoman
20981584	(-2.9542454,53.2921905)	The White Lion
20982634	(1.1810186,52.0590476)	The Fat Cat
20987303	(1.2183636,52.0690728)	The Falcon
20992703	(-1.1169255,52.6093317)	The Cradock Arms
20998947	(-0.1873293,51.2272350)	The Old Oak
21004543	(-2.8381931,53.0370530)	The Bull
21028920	(-0.1929862,51.9904783)	The Orange Tree
21029518	(-0.1879983,51.9757018)	The George IV
21029520	(-0.1869612,51.9914509)	The Old White Horse
21029521	(-0.1874010,51.9918473)	The Engine
21029699	(-1.6946046,53.9057132)	The Black Horse Hotel
21039934	(-1.0798536,52.5978047)	The Fox Inn
21039935	(-1.0796485,52.5977767)	The Black Dog
21055041	(1.3504896,51.9598866)	The Alex
21067942	(-0.1822059,51.2376194)	The Hatch
21093896	(-2.9230582,53.2828716)	The Wheatsheaf
21094867	(-3.0402307,53.1106794)	Halfway Inn
21094873	(-3.0373758,52.8943630)	Cross Foxes
21095655	(-0.2129708,51.2018411)	Three Horseshoes Inn
21096827	(-0.3323018,51.0637290)	The Lynd Cross
21122960	(-1.1659599,50.8528645)	The Delme Arms
21122961	(-1.1672356,50.8539475)	The Roundabout Hotel
21122999	(-1.1721898,50.8573062)	The Cob & Pen
21137006	(1.2724228,52.0701547)	The Black Tiles
21137287	(0.1454823,52.2179459)	Green Dragon
21192810	(-2.3901164,52.7539154)	The Aston
21279305	(-0.1846776,51.9860016)	The Boot
21279309	(-0.1858948,51.9871917)	The Cock
21279310	(-0.1882708,51.9899900)	Rose and Crown
21279311	(-0.1888639,51.9901722)	The Victoria
21283066	(-0.5082981,52.1383079)	The Three Tuns
21296919	(-0.1871914,51.9876552)	The White Lion
21377808	(-2.3431116,51.5069722)	Compass Inn
21391223	(0.1249433,52.1964242)	Panton Arms
21391227	(0.1253729,52.1959875)	The Alma
21392280	(-0.1049292,51.5154842)	Hoop and Grapes
21404682	(-0.2636069,52.0163038)	The White Horse
21428378	(-1.7836548,54.9311926)	The Bute Arms
21449848	(-0.7906721,51.6198519)	The Squirrel
21451381	(-1.2257773,51.7110249)	The Catherine Wheel
21496655	(-1.1034695,51.6444064)	The Chequers Inn
21496664	(-1.1415016,51.6310333)	Kingfisher Inn
21508951	(-0.2670025,52.0058019)	The True Briton
21540788	(-1.9717833,51.9517633)	The Corner Cupboard
21545982	(-1.2248433,51.7204887)	The George Inn
21546033	(-2.9366343,53.2765554)	The White Swan
21562988	(-1.1057706,51.7034644)	The Lamb
21563693	(-1.0751763,51.7114526)	The Plough
21579537	(-1.4020067,50.9782612)	The Cleveland Bay
21587054	(-2.2522072,51.8557370)	Robinhood
21587056	(-2.2528448,51.8547691)	Linden Tree
21587060	(-2.2580020,51.8498227)	The Avenue
21591707	(0.1107362,52.2150221)	The Grapes
21593232	(-0.1117428,51.5153316)	The Knights Templar
21593236	(-0.1192033,51.5172349)	Ship Tavern
21593238	(-0.1193210,51.5163376)	All Bar One
21599214	(-2.2553694,51.8527674)	Bristol
21600867	(-2.2232806,53.4286167)	The Cotton Tree
21628847	(-2.2735535,51.8742073)	The Dog
21628858	(-2.2723016,51.9719702)	Butchers Arms
21632596	(-0.3187748,51.6578581)	Battle Axes
21642213	(0.1130565,52.1765857)	Green Man
21642521	(0.1129040,52.1745617)	Hudson's Ale House
21648679	(-1.9198644,50.7697559)	The Bear Cross
21654812	(-2.9097926,53.2641665)	The Woodland
21673394	(-2.5771610,51.5826791)	White Hart
21686579	(-0.1043348,51.5154029)	White Haus
21693791	(-0.0997325,51.5150736)	The Saint
21712656	(-1.5054675,53.3809542)	The Old Grindstone
21712895	(-1.5065664,53.3826189)	Noah's Ark
21715058	(0.6864919,52.6487308)	Kings Arms
21746434	(-1.3279116,50.9931061)	Dog and Crook
21755589	(0.8324422,52.5360415)	The Chequers Inn
21760969	(-3.5465376,50.7093370)	Cowick Barton
21763522	(-0.9907296,51.5254225)	The Greyhound
21765883	(0.8876100,52.5408393)	Red Lion
21769127	(-0.4043757,51.2019760)	The Abinger Hatch
21769128	(-0.3869918,51.1982624)	The Stephan Langton
21980919	(-0.4228087,51.3886519)	The Manor Inn
21992884	(-0.4666921,52.1383367)	Brewhouse and Kitchen
21992885	(-0.4669489,52.1382826)	The Bear
21992893	(-0.4663214,52.1360846)	The Rose
21992896	(-0.4669843,52.1359246)	Wodka Live
21992993	(-0.4685366,52.1377304)	Bar Citrus
22264479	(-3.0404830,50.7794266)	New Inn
22464263	(-2.6032449,53.6086435)	Waggon and Horses
22465787	(-2.5969900,53.6173229)	Elephant And Castle
22533849	(-2.6679403,53.6605564)	The Talbot
22534055	(-2.7116301,53.6630889)	Traveller's Rest
22948853	(-1.0681687,51.5278628)	Black Lion
23202277	(-2.3126617,54.3292856)	The Moorcock Inn
23586061	(-1.0047103,51.4981818)	Pack Horse
23637987	(-1.0160177,51.5511032)	The Cherry Tree
23719278	(0.0935751,52.1811855)	Rupert Brooke
23719482	(0.0940465,52.1833304)	Blue Ball Inn
